1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0C8F0037,80,0,0,0,25,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C8F0037,0,0,0,0,0,0,28,0,0B375CC3,223804.683,110722,A,4,0,59
0C8F0037,0,0,0,0,0,30,0,32,0B375CC3,223804.683,110722,A,4,0,59
0C940B57,B5,0,35,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C940B57,0,0,0,3E,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C940B58,0,22,0,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C98B88B,80,0,33,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C98B88B,0,0,0,3F,0,0,3C,0,0B375CC3,223804.683,110722,A,4,0,59
0C98B88C,0,0,0,0,0,0,0,24,0B375CC3,223804.683,110722,A,4,0,59
0CAA8019,B7,0,37,0,35,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0CAA8019,0,0,0,0,0,0,3A,0,0B375CC3,223804.683,110722,A,4,0,59
0CAA801A,0,20,0,20,0,0,0,24,0B375CC3,223804.683,110722,A,4,0,59
0CAA801A,0,0,0,0,0,2A,0,0,0B375CC3,223804.683,110722,A,4,0,59
0CBDD50B,80,0,30,0,34,0,0,0,0CB4D506,223805.691,110722,A,4,0,59
0CBDD50B,0,0,0,3C,0,3A,0,0,0CB4D506,223805.691,110722,A,4,0,59
0CD76AD5,B1,0,31,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0CD76AD5,0,3E,0,3C,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0CDB7F13,80,0,2E,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0CDB7F13,0,0,0,37,31,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0CDB7F13,0,0,0,0,0,38,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D4286E8,80,0,3F,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D4286E9,22,0,0,0,20,0,24,0,0CB4D506,223805.691,110722,A,4,0,51
0D4286E9,0,2A,0,28,0,0,0,2D,0CB4D506,223805.691,110722,A,4,0,51
0D4286E9,0,0,0,0,0,30,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D5432EA,B6,0,34,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D5432EA,0,3F,0,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D5432EB,0,0,0,22,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D6114BE,80,0,0,0,2E,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D6114BE,0,0,0,0,0,35,30,0,0CB4D506,223805.691,110722,A,4,0,51
0D6114BE,0,0,0,0,0,0,0,3E,0CB4D506,223805.691,110722,A,4,0,51
0D6CC42F,80,0,0,0,3D,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D6CC430,0,0,0,0,0,27,23,0,0CB4D506,223805.691,110722,A,4,0,51
0D6CC430,0,0,0,0,0,0,0,2D,0CB4D506,223805.691,110722,A,4,0,51
0D74599E,80,0,27,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
0D74599E,2A,0,0,0,0,0,0,0,0CB4D506,223805.691,110722,A,4,0,51
